"00TKCA60M5C","TKC_A60_M5C"
"1BX_8YF100QNAF02","8YF100QNAF02"
"1BX_8YF330QNAF41","8YF330QNAF41"
"1BX_8YS100Q03AF1","8YS100Q03AF1"
"1BX_A80_ALL","A80 主機"
"1BX_A80_Z0","A80主機四組壓力流量"
"1BX_A83_ALL","SYSTEM A80 CPU+AD03E"
"1BX_A83_V4","SYSTEM A80 CPU(V4)+AD03E+1015AS"
"1BX_A83_Z0","A83主機 Z0"
"1BX_A84_ALL","SYSTEM A80 CPU+AD04E"
"1BX_A84_JH","進和a84主機"
"1BX_A84_V4","A84主機P1F1電壓源"
"1BX_A84_Z0","主機 四組比例輸出"
"1BX_A84_Z3","SYSTEM A80 CPU(Z3)+AD04E"
"1BX_A84_Z8","SYSTEM A80 CPU(Z8)+AD04E"
"1BX_A85_ALL","主機"
"1BX_A85_V4","A85主機P1F1電壓源"
